"island","site","colony","coral_type","coral_cover","echantillons","morphotype_1","morphotype_2","morphotype_3","morphotype_4","morphotype_5","morphotype_6","morphotype_7","morphotype_8","morphotype_9","morphotype_10","morphotype_11","morphotype_12","morphotype_13","morphotype_14","morphotype_15","morphotype_16","morphotype_17","morphotype_18","morphotype_19","morphotype_20","morphotype_21","morphotype_22","morphotype_23","morphotype_24","morphotype_25","morphotype_26","morphotype_27","morphotype_28","morphotype_29","morphotype_30","morphotype_31","morphotype_32","morphotype_33","morphotype_34","morphotype_35","morphotype_36","morphotype_37","morphotype_38","morphotype_39","morphotype_40","morphotype_41","morphotype_42","morphotype_43","abondance","richesse","shannon","simpson","pielou"
"Tetiaroa","BOU","C3","D","high","BOU.C3",0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.950270539233235,0.56,0.864973520717927
"Tetiaroa","BOU","C4","D","high","BOU.C4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,1.242453324894,0.666666666666667,0.896240625180289
"Tetiaroa","BOU","C5","A","high","BOU.C5",4,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1.27985422583367,0.7,0.923219672335508
"Tetiaroa","BOU","C6","DA","high","BOU.C6",0,0,0,1,1,2,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,1.99150936135661,0.85207100591716,0.957713559837711
"Tetiaroa","BOU","C7","A","high","BOU.C7",2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1.01140426470735,0.611111111111111,0.920619835714305
"Tetiaroa","BOU","C8","DA","high","BOU.C8",0,0,2,0,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,2.13338193026454,0.875,0.970943959151834
"Tetiaroa","BOU","C9","D","high","BOU.C9",0,0,0,0,0,2,0,1,4,0,1,0,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,11,2.26238625418332,0.878892733564014,0.943488349907413
"Tetiaroa","UNU","C1","D","low","UNU.C1",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.636514168294813,0.444444444444444,0.91829583405449
"Tetiaroa","UNU","C10","D","low","UNU.C10",1,1,0,0,0,1,0,4,7,1,0,0,0,0,0,1,2,0,3,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,2.28752061201722,0.866863905325444,0.891838509545123
"Tetiaroa","UNU","C11","DA","low","UNU.C11",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1.50478828368119,0.76,0.934977529767123
"Tetiaroa","UNU","C12","A","low","UNU.C12",0,2,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1.36892236074022,0.740740740740741,0.987468750600964
"Tetiaroa","UNU","C13","A","low","UNU.C13",1,3,0,0,0,1,0,1,1,4,0,2,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,12,2.33454910921257,0.888888888888889,0.939491674430401
"Tetiaroa","UNU","C14","DA","low","UNU.C14",0,1,1,0,0,1,0,0,6,0,0,0,2,0,0,0,1,1,1,1,0,3,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,2.33790135388815,0.88,0.911480512115028
"Tetiaroa","UNU","C15","A","low","UNU.C15",2,3,0,0,0,2,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,1.71947781385443,0.777777777777778,0.883636798281355
"Tetiaroa","UNU","C16","A","low","UNU.C16",2,5,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,1.56915294620312,0.755102040816326,0.875760933960158
"Tetiaroa","UNU","C17","DA","low","UNU.C17",0,4,0,0,0,1,0,1,5,0,0,2,0,0,0,1,1,0,2,1,0,3,0,0,0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,14,2.3874857346534,0.886666666666667,0.904673690814239
"Tetiaroa","UNU","C18","D","low","UNU.C18",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1.73286795139986,0.8125,0.967132018086354
"Tetiaroa","UNU","C19","DA","low","UNU.C19",0,1,0,0,1,1,0,1,2,0,0,2,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,1.8683517776407,0.76,0.811414867283489
"Tetiaroa","UNU","C20","D","low","UNU.C20",3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,19,8,1.83517103217954,0.797783933518006,0.882530715769499
"Tetiaroa","UNU","C21","D","low","UNU.C21",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1.94591014905531,0.857142857142857,1
"Tetiaroa","UNU","C22","A","low","UNU.C22",0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0.955699891112534,0.571428571428571,0.869915529773626
"Tetiaroa","UNU","C23","DA","low","UNU.C23",0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,6,1.43028030191109,0.693333333333333,0.798254635443507
"Tetiaroa","UNU","C3","A","low","UNU.C3",2,5,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,1.89055701139157,0.823529411764706,0.909165741617491
"Tetiaroa","UNU","C9","D","low","UNU.C9",0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1.22752941145721,0.6,0.762706906537766
